source_id,title,source_owner,owner_basis,countries,country_ids,institutions,institution_ids,url,source_type,evidence_lanes,effective_evidence_lane,evidence_layers,dependent_claims,report_critical,priority,expected_check_cadence,last_checked,document_date_or_version,version_basis,local_or_registry_location,registry_ids,data_paths,used_for,current_status,review_notes
LRS-276F16A8A60728,Ethical standards in research,forskningsradet.no,URL hostname fallback; review before publication attribution,Norway,norway,,,https://www.forskningsradet.no/en/research-policy-strategy/ethical-standards,Funder policy,general-research-integrity,general-research-integrity,country_dossier,country:norway:institutional-routes | country:norway:source-backbone | country:norway:system-allocation | country:norway:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,3 February 2025 | Last updated 3 February 2025,explicit source metadata | not recorded,,,data/countries.js#COUNTRY_DATA[3].dossierDetails.integrityCommittees.groups[3].committees[0].documents[0].url | data/countries.js#COUNTRY_DATA[3].dossierDetails.networkLayers[3].actors[0].documents[0].url | data/countries.js#COUNTRY_DATA[3].dossierDetails.sourceLinks[22].url | data/countries.js#COUNTRY_DATA[3].dossierDetails.timeline[18].sourceUrl,,not yet technically audited by this maintenance pipeline,States that the project institution is responsible for compliance and that scientific misconduct should first be reported to the institution.
LRS-27B00EEA4B8F21,KAA post-accreditation reports,akreditimi.rks-gov.net,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Kosovo,kosovo,,,https://akreditimi.rks-gov.net/post-accreditation,Official page,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:kosovo:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-26,2025,explicit source metadata | not recorded,data/Kosovo/raw documentation/source notes/Kosovo deep-dive sources.md | data/source-registry.csv#XK-S005,XK-S005,data/countries.js#COUNTRY_DATA[36].dossierDetails.sourceLinks[19].url | data/source-registry.csv#XK-S005,Kosovo committee-and-case-file pilot | Post-accreditation evaluation reports,not yet technically audited by this maintenance pipeline,Official post-accreditation evaluation report hub; useful for extracting integrity-related follow-up evidence.
LRS-27CA0232A033CD,CNRS MIS mission page,mis.cnrs.fr,URL hostname fallback; review before publication attribution,France,france,,,https://mis.cnrs.fr/mis,Role description,general-research-integrity,general-research-integrity,country_dossier,country:france:institutional-routes,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,,,data/countries.js#COUNTRY_DATA[6].dossierDetails.integrityCommittees.groups[2].committees[0].documents[1].url,,not yet technically audited by this maintenance pipeline,Distinguishes FFP and wider questionable practices and describes the RIS-led mission.
LRS-27D174B7013612,University of Salzburg Commission for Good Scientific Practice,plus.ac.at,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Austria,austria,,,https://www.plus.ac.at/die-universitaet/gremien-und-vereine/kommission-zur-sicherung-guter-wissenschaftlicher-praxis,official webpage or document,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:austria:institutional-routes | country:austria:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,,not recorded,data/Austria/raw documentation/source notes/Austria deep-dive sources.md | data/source-registry.csv#AT-S031,AT-S031,data/countries.js#COUNTRY_DATA[25].dossierDetails.integrityCommittees.groups[2].committees[4].links[0].url | data/countries.js#COUNTRY_DATA[25].dossierDetails.sourceLinks[29].url | data/source-registry.csv#AT-S031,Austria institutional repository search,not yet technically audited by this maintenance pipeline,"Institutional commission route with public scope, exclusions and composition; no public case archive located. | Public institutional commission route with tasks, exclusions and composition; no public decisions or case reports located."
LRS-27F002596D60BA,MU Varna Ethics Code of Academic Unity,mu-varna.bg,URL hostname fallback; review before publication attribution,Bulgaria,bulgaria,,,https://www.mu-varna.bg/EN/AboutUs/Documents/HRS4R/15_%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D1%87%D0%BD%D0%BE%20%D0%B5%D0%B4%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier,country:bulgaria:institutional-routes,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,,not recorded,,,data/countries.js#COUNTRY_DATA[38].dossierDetails.integrityCommittees.groups[4].committees[7].links[1].url,Academic unity and ethics committee evidence,not yet technically audited by this maintenance pipeline,
LRS-280253BF765C0B,Council for Scientific Integrity,scientific-integrity.ch,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Switzerland,switzerland,,,https://scientific-integrity.ch/organisation/council-for-scientific-integrity,Official page,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:switzerland:institutional-routes | country:switzerland:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,,not recorded,data/source-registry.csv#CH-S026 | data/Switzerland/raw documentation/source notes/Switzerland deep-dive sources.md,CH-S026,data/countries.js#COUNTRY_DATA[34].dossierDetails.integrityCommittees.groups[0].committees[3].links[2].url | data/countries.js#COUNTRY_DATA[34].dossierDetails.sourceLinks[7].url | data/source-registry.csv#CH-S026,SCCSI governance | Switzerland quality-consolidation pass,not yet technically audited by this maintenance pipeline,"Current SCCSI governance source confirming Council responsibilities, public reporting role, membership and 2026 four-year term."
LRS-282AAA22683E3F,Charter of the NASB,nasb.gov.by,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Belarus,belarus,,,https://nasb.gov.by/reference/UstavNANB.pdf,PDF,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:belarus:source-backbone | country:belarus:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,,not recorded,data/Belarus/raw documentation/source notes/Belarus deep-dive sources.md | data/source-registry.csv#BY-S006,BY-S006,data/countries.js#COUNTRY_DATA[26].dossierDetails.networkLayers[0].actors[2].documents[2].url | data/countries.js#COUNTRY_DATA[26].dossierDetails.sourceLinks[5].url | data/source-registry.csv#BY-S006,Belarus deep dossier,not yet technically audited by this maintenance pipeline,Official charter and governance basis for NASB. | Official charter and governance basis.
LRS-2835EBFDC3EDE1,Complaints and investigations,etikostarnyba.lt,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Lithuania,lithuania,,,https://etikostarnyba.lt/en/complaints-and-investigations,Complaint route,general-research-integrity,general-research-integrity,country_dossier | source_registry | transparency_layer,country:lithuania:institutional-routes | country:lithuania:public-output | country:lithuania:source-backbone | transparency:lithuania:publication-model,true,high,monthly technical check; quarterly content review,2026-04-23,,not recorded,data/Lithuania/raw documentation/source notes/Lithuania deep-dive sources.md | data/source-registry.csv#LT-S002,LT-S002,data/countries.js#COUNTRY_DATA[17].dossierDetails.integrityCommittees.groups[0].committees[0].links[0].url | data/countries.js#COUNTRY_DATA[17].dossierDetails.sourceLinks[3].url | data/countries.js#COUNTRY_DATA[17].transparency.resources[2].url | data/source-registry.csv#LT-S002 | data/transparency.js#TRANSPARENCY_DATA[18].resources[2].url,Lithuania committee and case-file pilot | National academic ethics and procedures,not yet technically audited by this maintenance pipeline,Shows route visibility before a decision is reached; it must not be treated as a violation register. | Used to code the pre-decision status list separately from final Ombudsperson decisions.
LRS-2849B2D632D213,Act No. 172/2005 (consolidated text),static.slov-lex.sk,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Slovakia,slovakia,,,https://static.slov-lex.sk/static/SK/ZZ/2005/172/20250101.html,Law,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:slovakia:source-backbone | country:slovakia:system-allocation | country:slovakia:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,21 March 2005 | Current consolidated version | year:2025,explicit source metadata | year in title or URL,data/Slovakia/raw documentation/source notes/Slovakia deep-dive sources.md | data/source-registry.csv#SK-S001,SK-S001,data/countries.js#COUNTRY_DATA[22].dossierDetails.networkLayers[0].actors[0].documents[0].url | data/countries.js#COUNTRY_DATA[22].dossierDetails.sourceLinks[1].url | data/countries.js#COUNTRY_DATA[22].dossierDetails.timeline[0].sourceUrl | data/source-registry.csv#SK-S001,Slovakia deep dossier,not yet technically audited by this maintenance pipeline,"Core legal backbone for the national code, support-provider competences and NKVIE framing."
LRS-285B77283D556E,POLITEHNICA Bucharest ethics page,upb.ro,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Romania,romania,,,https://upb.ro/comisia-de-etica,Official university page,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | source_registry,country:romania:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,,not recorded,data/Romania/raw documentation/source notes/Romania deep-dive sources.md | data/source-registry.csv#RO-S029,RO-S029,data/countries.js#COUNTRY_DATA[48].dossierDetails.integrityCommittees.groups[2].committees[3].links[0].url | data/countries.js#COUNTRY_DATA[48].dossierDetails.networkLayers[3].actors[2].documents[0].url | data/countries.js#COUNTRY_DATA[48].dossierDetails.sourceLinks[17].url | data/source-registry.csv#RO-S029,Romania deep dossier,not yet technically audited by this maintenance pipeline,Shows the technical-university route and bioethics subcommission. | Technical-university route with ethics-commission and bioethics references. | Useful technical-university route with a bioethics subcommission.
LRS-28B548FD3B8C7F,Aalto handling of misconduct,aalto.fi,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Finland,finland,,,https://www.aalto.fi/en/services/handling-of-misconduct-violation-of-research-integrity-guidelines-at-aalto-university,Institutional process example,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:finland:institutional-routes | country:finland:public-output | country:finland:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,Updated 8 August 2024,explicit source metadata | not recorded,data/Finland/raw documentation/source notes/Finland deep-dive sources.md | data/source-registry.csv#FI-S006,FI-S006,data/countries.js#COUNTRY_DATA[2].dossierDetails.integrityCommittees.groups[2].committees[0].documents[0].url | data/countries.js#COUNTRY_DATA[2].dossierDetails.sourceLinks[18].url | data/countries.js#COUNTRY_DATA[2].transparency.resources[4].url | data/source-registry.csv#FI-S006,Aalto first-instance RI process | Finland committee and case-file pilot,not yet technically audited by this maintenance pipeline,"Aalto describes the self-regulation framework, president route, no-anonymous-notification rule, public documents and three-phase process. | Best local example found for document publicity without an online case archive. | Used as the clearest local example distinguishing public case documents from proactive online case publication."
LRS-28E02D980338DE,Guidelines for Research Ethics in Science and Technology,forskningsetikk.no,URL hostname fallback; review before publication attribution,Norway,norway,,,https://www.forskningsetikk.no/en/about-us/our-committees-and-commission/nent/guidelines-nent/guidelines-for-research-ethics-in-science-and-technology,Domain guideline,boundary-regime | general-research-integrity,mixed-or-review,country_dossier,country:norway:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,"2024 | Third edition, 2024",explicit source metadata | not recorded,,,data/countries.js#COUNTRY_DATA[3].dossierDetails.integrityCommittees.groups[0].committees[2].documents[1].url | data/countries.js#COUNTRY_DATA[3].dossierDetails.sourceLinks[13].url | data/countries.js#COUNTRY_DATA[3].dossierDetails.timeline[16].sourceUrl,,not yet technically audited by this maintenance pipeline,"Revised in light of open science, AI, enabling technologies and new forms of research assessment."
LRS-292CE9DB583214,SETU Research Integrity,setu.ie,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Ireland,ireland,,,https://www.setu.ie/research-innovation/researcher-support/researcher-compliance/research-integrity,Institutional route page,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:ireland:institutional-routes | country:ireland:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,,not recorded,data/Ireland/raw documentation/source notes/Ireland deep-dive sources.md | data/source-registry.csv#IE-S039,IE-S039,data/countries.js#COUNTRY_DATA[7].dossierDetails.integrityCommittees.groups[1].committees[9].documents[0].url | data/countries.js#COUNTRY_DATA[7].dossierDetails.sourceLinks[31].url | data/source-registry.csv#IE-S039,Ireland committee-and-case-file pilot,not yet technically audited by this maintenance pipeline,"Names the RICO, explains allegation handling and defines serious misconduct and unacceptable research practices. | Technological-university RICO route with misconduct definitions and training requirements."
LRS-2942B37D3BBFE4,KAA legal provisions,akreditimi.rks-gov.net,URL hostname fallback; review before publication attribution,Kosovo,kosovo,,,https://akreditimi.rks-gov.net/about-kaa/legal-provisions-and-responsibilities,Official page,general-research-integrity,general-research-integrity,country_dossier,country:kosovo:institutional-routes | country:kosovo:source-backbone | country:kosovo:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-26,,not recorded,,,data/countries.js#COUNTRY_DATA[36].dossierDetails.integrityCommittees.groups[1].committees[0].links[0].url | data/countries.js#COUNTRY_DATA[36].dossierDetails.networkLayers[1].actors[0].documents[0].url | data/countries.js#COUNTRY_DATA[36].dossierDetails.sourceLinks[4].url,KAA law and regulation hub,not yet technically audited by this maintenance pipeline,
LRS-295B675CDA5BE6,NWO annual report 2024,nwo.nl,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Netherlands,netherlands,,,https://www.nwo.nl/sites/nwo/files/media-files/Jaarverslag%20NWO%20Meldpunt%20Wetenschappelijke%20Integriteit%202024.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:netherlands:public-output | country:netherlands:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-05-29,year:2024,year in title or URL,data/Netherlands/raw documentation/source notes/Netherlands deep-dive sources.md | data/source-registry.csv#NL-S008,NL-S008,data/countries.js#COUNTRY_DATA[0].dossierDetails.sourceLinks[17].url | data/countries.js#COUNTRY_DATA[0].transparency.resources[8].url | data/source-registry.csv#NL-S008,Netherlands committee and case-file pilot | NWO Scientific Integrity Desk,not yet technically audited by this maintenance pipeline,Best public trace of NWO's safety-net handling practice. | Used as the best public trace of NWO desk activity; annual-report visibility rather than a searchable archive.
LRS-2994A6713B925F,Medical University of Innsbruck adopts its statute section on good scientific practice,i-med.ac.at,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Austria,austria,,,https://www.i-med.ac.at/goodscientificpractice/images/statute-section-safeguarding-good-scientific-practice-at-the-medical-uni_en.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:austria:institutional-routes | country:austria:source-backbone | country:austria:system-allocation | country:austria:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,16 December 2015,explicit source metadata | not recorded,data/Austria/raw documentation/source notes/Austria deep-dive sources.md | data/source-registry.csv#AT-S020,AT-S020,data/countries.js#COUNTRY_DATA[25].dossierDetails.integrityCommittees.groups[2].committees[3].links[0].url | data/countries.js#COUNTRY_DATA[25].dossierDetails.networkLayers[2].actors[3].documents[0].url | data/countries.js#COUNTRY_DATA[25].dossierDetails.sourceLinks[28].url | data/countries.js#COUNTRY_DATA[25].dossierDetails.timeline[3].sourceUrl | data/source-registry.csv#AT-S020,Austria deep dossier,not yet technically audited by this maintenance pipeline,Strong medical-university formalization source; includes an internal anonymized annual-report rule. | Strong medical-university formalization source.
LRS-29FBC7B04D2CB6,University of Tuzla adopts its current university ethics code,untz.ba,URL hostname fallback; review before publication attribution,Bosnia and Herzegovina,bosnia-and-herzegovina,,,https://untz.ba/wp-content/uploads/2021/04/Eticki_kodeks_Univerziteta_u_Tuzli_12_04_2021.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier,country:bosnia-and-herzegovina:institutional-routes | country:bosnia-and-herzegovina:source-backbone | country:bosnia-and-herzegovina:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,12 April 2021 | year:2021,explicit source metadata | year in title or URL,,,data/countries.js#COUNTRY_DATA[40].dossierDetails.integrityCommittees.groups[2].committees[4].links[1].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.sourceLinks[33].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.timeline[9].sourceUrl,Institutional ethics code,not yet technically audited by this maintenance pipeline,
LRS-2A04EE6A9C13D6,Information for visitors,etikostarnyba.lt,URL hostname fallback; review before publication attribution,Lithuania,lithuania,,,https://etikostarnyba.lt/en/public-services,Complaint submission guidance,general-research-integrity,general-research-integrity,country_dossier,country:lithuania:institutional-routes | country:lithuania:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,,not recorded,,,data/countries.js#COUNTRY_DATA[17].dossierDetails.integrityCommittees.groups[0].committees[0].links[4].url | data/countries.js#COUNTRY_DATA[17].dossierDetails.sourceLinks[7].url,,not yet technically audited by this maintenance pipeline,
LRS-2A0642A2AC438E,University of Warsaw when-does-a-study-require-an-opinion page,en.uw.edu.pl,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Poland,poland,,,https://en.uw.edu.pl/when-does-a-study-require-an-opinion-from-the-rectors-committee-for-the-ethics-of-research-involving-human-participants,decision/output archive,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:poland:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,data/Poland/raw documentation/source notes/Poland deep-dive sources.md | data/source-registry.csv#PL-S024,PL-S024,data/countries.js#COUNTRY_DATA[33].dossierDetails.networkLayers[3].actors[0].documents[1].url | data/source-registry.csv#PL-S024,Poland deep dossier,not yet technically audited by this maintenance pipeline,Supplementary page explaining the scope of the committee's review function.
LRS-2A0D08528FC9D4,University of Nis Code of Professional Ethics,ni.ac.rs,URL hostname fallback; review before publication attribution,Serbia,serbia,,,https://www.ni.ac.rs/dokumenti/aktuelni-pravni-propisi-univerziteta-u-nisu/download/118-aktuelni-pravni-propisi-univerziteta-u-nisu/475-kodeks-profesionalne-etike-univerziteta-u-nisu-preciscen-tekst-g,code or standard,general-research-integrity,general-research-integrity,country_dossier,country:serbia:institutional-routes,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,,not recorded,,,data/countries.js#COUNTRY_DATA[42].dossierDetails.integrityCommittees.groups[2].committees[1].links[1].url,,not yet technically audited by this maintenance pipeline,Official code URL identified from local overview and public search index; final sweep should verify current download response.
LRS-2A4B9FA551DA74,Danish Committees on Scientific Dishonesty publish guidelines for good scientific practice,ufm.dk,URL hostname fallback; review before publication attribution,Denmark,denmark,,,https://ufm.dk/en/publications/2009/the-danish-committees-on-scientific-guidelines-for-good-scientific-practice,Historical formative document,general-research-integrity,general-research-integrity,country_dossier,country:denmark:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,2009,explicit source metadata,,,data/countries.js#COUNTRY_DATA[1].dossierDetails.timeline[0].sourceUrl,,not yet technically audited by this maintenance pipeline,
LRS-2A518EC64CDE61,PAN statements and opinions archive,pan.pl,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Poland,poland,,,https://pan.pl/baza-wiedzy/stanowiska-i-opinie-komitetow-problemowych-pan,decision/output archive,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:poland:institutional-routes | country:poland:public-output | country:poland:source-backbone | country:poland:system-allocation | country:poland:system-map,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,data/Poland/raw documentation/source notes/Poland deep-dive sources.md | data/source-registry.csv#PL-S037,PL-S037,data/countries.js#COUNTRY_DATA[33].documents[8].url | data/countries.js#COUNTRY_DATA[33].dossierDetails.integrityCommittees.groups[0].committees[0].links[5].url | data/countries.js#COUNTRY_DATA[33].dossierDetails.networkLayers[1].actors[0].documents[4].url | data/countries.js#COUNTRY_DATA[33].dossierDetails.sourceLinks[16].url | data/countries.js#COUNTRY_DATA[33].transparency.resources[4].url | data/source-registry.csv#PL-S037,Poland committee and case-file pilot | Public PAN opinion and statement lane,not yet technically audited by this maintenance pipeline,"Stable public hub for PAN statements and opinions, useful for continuity and publication-lane mapping. | Stable public hub for PAN statements and opinions. | Useful for continuity and publication-lane mapping."
LRS-2A736695FD3A45,National Declaration,crue.org,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Spain,spain,Universitat de Barcelona,universitat-de-barcelona,https://www.crue.org/wp-content/uploads/2020/02/Declaraci%C3%B3n-Nacional-Integridad-Cient%C3%ADfica_.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier | member_profile | source_registry,country:spain:institutional-routes | country:spain:source-backbone | country:spain:system-allocation | member:universitat-de-barcelona:country-code,true,high,monthly technical check; quarterly content review,2026-07-15,2015 | year:2020,explicit source metadata | year in title or URL,data/source-registry.csv#ES-S009 | data/Spain/raw documentation/source notes/Spain deep-dive sources.md,ES-S009,data/countries.js#COUNTRY_DATA[9].dossierDetails.integrityCommittees.groups[0].committees[2].documents[0].url | data/countries.js#COUNTRY_DATA[9].dossierDetails.networkLayers[1].actors[0].documents[0].url | data/countries.js#COUNTRY_DATA[9].dossierDetails.sourceLinks[8].url | data/leru-members.js#LERU_MEMBER_DATA[2].countryCodeSource.url | data/source-registry.csv#ES-S009,Spain review and relabel | Spanish national scientific-integrity declaration baseline.,not yet technically audited by this maintenance pipeline,"Key national soft-law declaration by CSIC COSCE and CRUE. | Sets principles and asks institutions to adopt codes, define policies, train staff and handle conflicts. | Use with institutional codes and regional integrity routes such as CIR-CAT."
LRS-2A7835397B3256,CIR-CAT admission and processing procedure,web.gencat.cat,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Spain,spain,,,https://web.gencat.cat/ca/generalitat/com-ens-organitzem/departaments/recerca-universitats/CIR-CAT/procediment-adminissio-tramitacio-integracio-cientifica,procedure or regulation,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry | transparency_layer,country:spain:institutional-routes | country:spain:public-output | country:spain:source-backbone | country:spain:system-allocation | transparency:spain:publication-model,true,high,monthly technical check; quarterly content review,2026-04-24,,not recorded,data/source-registry.csv#ES-S023 | data/Spain/raw documentation/source notes/Spain deep-dive sources.md,ES-S023,data/countries.js#COUNTRY_DATA[9].dossierDetails.integrityCommittees.groups[3].committees[0].documents[1].url | data/countries.js#COUNTRY_DATA[9].dossierDetails.networkLayers[4].actors[0].documents[1].url | data/countries.js#COUNTRY_DATA[9].dossierDetails.sourceLinks[24].url | data/countries.js#COUNTRY_DATA[9].transparency.resources[4].url | data/source-registry.csv#ES-S023 | data/transparency.js#TRANSPARENCY_DATA[29].resources[2].url,Catalan communications and requests about scientific integrity | How Catalan integrity communications and applications are handled | Spain review and relabel,not yet technically audited by this maintenance pipeline,"Defines admission, non-admission, evidence gathering, provisional and definitive opinions, file custody and transparency-law publication basis. | Detailed public procedure for communications applications and publication of opinions. | One of the clearest subnational integrity procedures found for Spain. | Shows one of the clearest public integrity procedures found in Spain."
LRS-2A7A20A18BF4BD,MAB about page,mab.hu,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Hungary,hungary,,,https://www.mab.hu/en/about-mab,Official MAB page,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:hungary:source-backbone | country:hungary:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,,not recorded,data/Hungary/raw documentation/source notes/Hungary deep-dive sources.md | data/source-registry.csv#HU-S013,HU-S013,data/countries.js#COUNTRY_DATA[31].dossierDetails.networkLayers[2].actors[1].documents[0].url | data/countries.js#COUNTRY_DATA[31].dossierDetails.sourceLinks[16].url | data/source-registry.csv#HU-S013,Hungary deep dossier,not yet technically audited by this maintenance pipeline,Key source for MAB as the national external evaluator of educational and related research activities and QA systems.
LRS-2ACAF199001E0B,UNIBL responsible generative AI recommendations,unibl.org,URL hostname fallback; review before publication attribution,Bosnia and Herzegovina,bosnia-and-herzegovina,,,https://unibl.org/uploads/files/strane/ostali_akti/preporuka.pdf,PDF,boundary-regime | general-research-integrity,mixed-or-review,country_dossier,country:bosnia-and-herzegovina:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,,not recorded,,,data/countries.js#COUNTRY_DATA[40].dossierDetails.integrityCommittees.groups[2].committees[3].links[2].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.sourceLinks[31].url,"AI boundary source for teaching, research and administration",not yet technically audited by this maintenance pipeline,
LRS-2AD2681F1604DF,UL 22 September 2022 plagiarism-elements decision,lu.lv,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Latvia,latvia,,,https://www.lu.lv/par-mums/akademiskas-etikas-komisija/22092022-par-nekolegialu-ricibu,decision/output archive,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:latvia:source-backbone,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,year:2092,year in title or URL,data/Latvia/raw documentation/source notes/Latvia deep-dive sources.md | data/source-registry.csv#LV-S023,LV-S023,data/countries.js#COUNTRY_DATA[16].dossierDetails.sourceLinks[28].url | data/source-registry.csv#LV-S023,Latvia UL full-text classification follow-up,not yet technically audited by this maintenance pipeline,Research/publication-integrity row using independent expert opinions and finding uncollegial conduct with plagiarism-containing elements.
LRS-2AE297F171D7D7,Article 17 StGG,ris.bka.gv.at,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Austria,austria,,,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Anlage=&Artikel=17&Gesetzesnummer=10000006&Paragraf=&ShowPrintPreview=True&Uebergangsrecht=,Constitutional anchor,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:austria:source-backbone | country:austria:system-allocation | country:austria:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,21 December 1867,explicit source metadata | not recorded,data/Austria/raw documentation/source notes/Austria deep-dive sources.md | data/source-registry.csv#AT-S001,AT-S001,data/countries.js#COUNTRY_DATA[25].dossierDetails.networkLayers[0].actors[0].documents[0].url | data/countries.js#COUNTRY_DATA[25].dossierDetails.sourceLinks[1].url | data/countries.js#COUNTRY_DATA[25].dossierDetails.timeline[0].sourceUrl | data/source-registry.csv#AT-S001,Austria deep dossier,not yet technically audited by this maintenance pipeline,Constitutional anchor for freedom of science and teaching.
LRS-2AEF694D692377,Code of Research Integrity and Ethics in Slovakia,vaia.gov.sk,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Slovakia,slovakia,,,https://vaia.gov.sk/wp-content/uploads/2025/03/KODEX_sk.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier | source_registry,country:slovakia:source-backbone | country:slovakia:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,year:2025,year in title or URL,data/Slovakia/raw documentation/source notes/Slovakia deep-dive sources.md | data/source-registry.csv#SK-S004,SK-S004,data/countries.js#COUNTRY_DATA[22].dossierDetails.networkLayers[0].actors[0].documents[2].url | data/countries.js#COUNTRY_DATA[22].dossierDetails.sourceLinks[4].url | data/source-registry.csv#SK-S004,Slovakia deep dossier,not yet technically audited by this maintenance pipeline,Main national code and implementation document. | Main national code and implementation source.
