source_id,country,title,url,source_type,raw_documentation_category,accessed,used_for,stored_in,notes
"OV-IS-010","Iceland","Personuvernd","https://www.personuvernd.is/","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-011","Iceland","Reykjavik University","https://www.ru.is/en/about-ru/policies/code-of-ethics","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-012","Iceland","Reykjavik University","https://www.ru.is/en/about-ru/university-governance-and-strategy/regulations","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-013","Iceland","Samradapi","https://samradapi.island.is/api/Documents/95d90d54-111b-e911-944c-005056850474","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-014","Iceland","The Icelandic Centre for Research","https://en.rannis.is/","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-015","Iceland","The Icelandic Centre for Research","https://en.rannis.is/media/rannsoknasjodur/IRF-Handbook-2017-ENGLISH.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-016","Iceland","University of Iceland","https://english.hi.is/about-ui/governance/regulations-ui","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-017","Iceland","University of Iceland","https://english.hi.is/about-ui/governance/university-council-committees","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-018","Iceland","University of Iceland","https://english.hi.is/about-ui/policies/policies-ui/code-ethics","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-019","Iceland","University of Iceland","https://english.hi.is/sites/default/files/2024-10/code_of_research_ethics_for_public_higher_education_institutions.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-IS-020","Iceland","VSN","https://www.vsn.is/","Website","overview source links","2026-04-17","Overview country extraction","data/Iceland/Overview Iceland.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-001","Bosnia and Herzegovina","Aibus","https://aibus.pmf.unsa.ba/aibus/code-of-ethics","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-002","Bosnia and Herzegovina","AZLP","https://azlp.ba/propisi/?id=4546","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-003","Bosnia and Herzegovina","Filozofski fakultet Mostar","https://ff.sum.ba/wp-content/uploads/sites/20/2025/03/eticki-kodeks_KB.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-004","Bosnia and Herzegovina","HEA BiH","https://www.hea.gov.ba/Content/Read/organizaciona-struktura","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-005","Bosnia and Herzegovina","Medicinski fakultet","https://med.unibl.org/wp-content/uploads/2024/12/Statute-of-the-University-of-Banja-Luka-2022-engl.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-006","Bosnia and Herzegovina","Medicinski fakultet u Sarajevu","https://mf.unsa.ba/en/nauka/eticki-komitet/","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-007","Bosnia and Herzegovina","Ministry of Civil Affairs","https://mcp.gov.ba/en/about-the-science-and-culture-sector","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-008","Bosnia and Herzegovina","Ministry of Civil Affairs","https://mcp.gov.ba/en/faq-education","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-009","Bosnia and Herzegovina","Parlament.ba","https://www.parlament.ba/law/LawDetails?lawId=890","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-010","Bosnia and Herzegovina","Platforma za unapređenje dječijih prava","https://platforma.gov.ba/en/protection-participation-trust-what-does-the-revised-ethical-code-of-research-with-and-about-children-in-bosnia-and-herzegovina-bring-interview-with-professor-elmedin-muratbegovic-phd/","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-011","Bosnia and Herzegovina","Univerzitet u Sarajevu","https://www.unsa.ba/sites/default/files/dodatak/2024-09/web_ENG_UNSA%20HRS4R%20Action%20Plan%20revised%202024.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-012","Bosnia and Herzegovina","Univerzitet u Sarajevu","https://www.unsa.ba/sites/default/files/inline-files/GEP%20UNSA_eng_final.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-013","Bosnia and Herzegovina","Univerzitet u Tuzli","https://untz.ba/studij-nastava/ured-za-nastavu/kodeks-nastavnicke-etike/","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-BA-014","Bosnia and Herzegovina","Vlada Federacije Bosne i Hercegovine","https://fbihvlada.gov.ba/en/ministarstvo-obrazovanja-i-nauke","Website","overview source links","2026-04-17","Overview country extraction","data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-001","North Macedonia","Akvo","https://www.akvo.mk/images/DOCS-E/Prilog_1_Obrazec_za_Izveshtaj_od_samoevaluacija_angliski_jazik.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-002","North Macedonia","Akvo","https://www.akvo.mk/index.php/en/","Website","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-003","North Macedonia","ESFRI","https://www.esfri.eu/sites/default/files/usvoena-e-revizija-na-patokazot-za-istrazuvackata-infrastruktura-na-republika-severna-makedonija-2022-2024-file-zYs0.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-004","North Macedonia","Fitr","https://fitr.mk/wp-content/uploads/2021/11/Law-on-Innovation-Activity.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-005","North Macedonia","Fitr","https://fitr.mk/wp-content/uploads/2022/05/Pravilnik-tehnoloshki-razvoj-za-zabrzan-ekonomski-rast-ENG.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-006","North Macedonia","Ministry of Education and Science","https://mon.gov.mk/en-GB/odnosi-so-javnost/novosti/otcet-na-janevska-obrazovanieto-i-naukata-go-dobivaat-potrebnoto-vnimanie-i-stanuvaat-klucni-razvojni-resursi-na-drzavata","Website","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-007","North Macedonia","Ministry of Education and Science","https://mon.gov.mk/en-GB/odnosi-so-javnost/novosti/usvoen-e-patokaz-za-istrazuvackata-infrastruktura-na-republika-severna-makedonija","Website","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-008","North Macedonia","Ministry of Education and Science","https://mon.gov.mk/en-GB/odnosi-so-javnost/soopstenija/povik-za-finansiranje-proekti-preku-horizont","Website","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-009","North Macedonia","Nacionalen Sovet za Vojnodstvenici","https://www.nacionalensovetzavoinid.com.mk/","Website","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-010","North Macedonia","PMF UKIM","https://www.pmf.ukim.edu.mk/filemanager/248_Eticki_kodeks.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-011","North Macedonia","South East European University","https://www.seeu.edu.mk/files/2019-2020/1/Approved%20Statute%202019.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-012","North Macedonia","South East European University","https://www.seeu.edu.mk/files/2019-2020/8/Rule%20on%20Third%20Cycle%20Studies%20-%20consolidated%20text%20MM.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-013","North Macedonia","UKIM Archive","https://archive.ukim.edu.mk/dokumenti_m/Open_Science_Policy_UKIM_March_2022-en.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-014","North Macedonia","UKIM Archive","https://archive.ukim.edu.mk/dokumenti_m/SSDS/Vodich-za-studenti-en.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-MK-015","North Macedonia","University of St. Cyril and Methodius","https://ukim.edu.mk/en/nauka/policies/ai-declaration/","Website","overview source links","2026-04-17","Overview country extraction","data/North Macedonia/Overview North Macedonia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-001","Serbia","Faculty of Philosophy","https://www.ff.uns.ac.rs/en/faculty/faculty-bodies/ethical-committee","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-002","Serbia","Fond za nauku","https://fondzanauku.gov.rs/wp-content/uploads/2021/09/STATUTE-OF-THE-SCIENCE-FUND-OF-THE-REPUBLIC-OF-SERBIA.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-003","Serbia","Fond za nauku","https://fondzanauku.gov.rs/wp-content/uploads/2025/02/IDEAS-2024-SF-Grant-Manual.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-004","Serbia","Ministry of Science and Innovation","https://nitra.gov.rs/en/ministarstvo/o-nama","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-005","Serbia","Ministry of Science and Innovation","https://nitra.gov.rs/en/nauka/kategorizacija-naucnih-casopisa","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-006","Serbia","Ministry of Science and Innovation","https://nitra.gov.rs/en/nauka/naucnoistrazivacke-organizacije","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-007","Serbia","Ministry of Science and Innovation","https://nitra.gov.rs/en/nauka/nauka-i-istrazivanje-u-srbiji","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-008","Serbia","Ministry of Science and Innovation","https://nitra.gov.rs/images/nauka/dokumenta/kodeks-ponasanja-u-naucnoistrazivackom-radu.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-009","Serbia","Ministry of Science and Innovation","https://nitra.gov.rs/images/nauka/TONuS-Platforma_2.0-Final-eng.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-010","Serbia","ni.ac.rs","https://www.ni.ac.rs/dokumenti/category/140-komitet-za-profesionalnu-etiku","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-011","Serbia","Pravno Informacioni Sistem","https://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/skupstina/zakon/2019/49/1","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-012","Serbia","Provincial Assembly of Vojvodina","https://www.skupstinavojvodine.gov.rs/Strana.aspx?j=EN&s=aktapv3izmene","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RS-013","Serbia","University of Belgrade","https://www.bg.ac.rs/administrative-services-and-bodies/","Website","overview source links","2026-04-17","Overview country extraction","data/Serbia/Overview Serbia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-001","Turkey","arastirma.ege.edu.tr","https://arastirma.ege.edu.tr/tr-20652/projelerde_etik_kurul_belgesi.html","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-002","Turkey","dokumantasyon.yok.gov.tr","https://dokumantasyon.yok.gov.tr/tr/page/195","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-003","Turkey","Hadmek","https://hadmek.tarimorman.gov.tr/Sayfa/Detay/644","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-004","Turkey","Hadmek","https://hadmek.tarimorman.gov.tr/Sayfa/Detay/645","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-005","Turkey","Hukuk Ethics Division","https://etikkurul.ankara.edu.tr/yonerge/","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-006","Turkey","Karadeniz Teknik Üniversitesi","https://www.ktu.edu.tr/en/ethicalcommittees","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-007","Turkey","Mevzuat","https://www.mevzuat.gov.tr/MevzuatMetin/yonetmelik/8.5.31390.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-008","Turkey","Sakarya University of Health Sciences","https://sbu.edu.tr/arastirma/etik-kurullar/gulhane-klinik-arastirmalar-etik-kurulu/","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-009","Turkey","T.C. Boğaziçi Üniversitesi","https://bogazici.edu.tr/tr/pages/sosyal-ve-beseri-bilimler-insan-arastirmalari/192","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-010","Turkey","Titck","https://www.titck.gov.tr/faaliyetalanlari/ilac/klinik-arastirmalar","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-011","Turkey","Tuba","https://www.tuba.gov.tr/tr/haberler/akademiden-haberler/arastirma-etigi-ve-durustluk-konseyi-toplantisi-berlinde-yapildi","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-012","Turkey","Tuba","https://www.tuba.gov.tr/tr/yayinlar/suresiz-yayinlar/raporlar/tuba-bilimsel-arastirmada-etik-ve-sorunlari-1","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-013","Turkey","TÜBİTAK","https://tubitak.gov.tr/tr/taxonomy/term/163","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-014","Turkey","TÜSEB","https://www.tuseb.gov.tr/kurumsal/mevzuat/yonetmelikler","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-015","Turkey","UAK","https://www.uak.gov.tr/documents/documents/68833f08eae85.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-016","Turkey","UAK","https://www.uak.gov.tr/documents/documents/68838b0a08031.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-017","Turkey","YÖK","https://proje.yok.gov.tr/tr/page/635","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-018","Turkey","YÖK İstatistik","https://istatistik.yok.gov.tr/","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-019","Turkey","Yükseköğretim Kurulu","https://www.yok.gov.tr/en/page/history-h6NVn","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-TR-020","Turkey","Yükseköğretim Kurulu","https://www.yok.gov.tr/tr/page/mevzuat-aYrMB","Website","overview source links","2026-04-17","Overview country extraction","data/Turkey/Overview Turkey.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-001","Russia","Bioethics MSU","https://bioethics.msu.ru/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-002","Russia","Government of the Russian Federation","https://government.ru/docs/all/96209/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-003","Russia","HSE University","https://www.hse.ru/org/hse/irb/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-004","Russia","Ministry of Health","https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/029/442/original/%D0%9E%D0%B1_%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8_%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%A1%D0%BE%D0%B2%D0%B5%D1%82%D0%B5_%D0%BF%D0%BE_%D1%8D%D1%82%D0%B8%D0%BA%D0%B5.pdf?1456849157=","PDF","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-005","Russia","Minobrnauki","https://minobrnauki.gov.ru/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-006","Russia","Minobrnauki","https://vak.minobrnauki.gov.ru/main","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-007","Russia","Minobrnauki","https://www.minobrnauki.gov.ru/about/deps/daninpr/orsgna/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-008","Russia","Rassep","https://rassep.ru/sovet-po-etike/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-009","Russia","Russian Academy of Sciences","https://www.ras.ru/popularization.aspx","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-010","Russia","Russian Science Foundation","https://rscf.ru/fondfiles/PotE_rus.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-011","Russia","Saint Petersburg State University","https://spbu.ru/openuniversity/documents/kodeks-universanta","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-012","Russia","ВАК","https://vak.gisnauka.ru/diplomas-npa-certificates-evidence/orders","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-013","Russia","ВАК","https://vak.gisnauka.ru/documents/editions","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-014","Russia","Вольное сетевое сообщество «Диссернет»","https://dissernet.org/about","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RU-015","Russia","Российская академия наук","https://new.ras.ru/structures/komitety-sovety-i-komissii/komitety-sovety-i-komissii-pri-prezidiume-ran/sovety/sovet-po-etike-nauchnykh-issledovaniy/","Website","overview source links","2026-04-17","Overview country extraction","data/Russia/Overview Russia.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-ME-001","Montenegro","UCG - Univerzitet Crne Gore","https://ucg.ac.me/skladiste/blog_17/objava_39887/fajlovi/HRS4R%20Review%2C%20October%202025.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Montenegro/Overview Montenegro.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-ME-002","Montenegro","UCG - Univerzitet Crne Gore","https://www.ucg.ac.me/skladiste/blog_6/objava_3722/fajlovi/Decision%20on%20use%20of%20Software%20for%20plagiarism%20detection%20at%20the%20Univeristy%20of%20Montenegro.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Montenegro/Overview Montenegro.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-001","Romania","Acad.ro","https://acad.ro/institutia/cercetare.html","Website","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-002","Romania","ANMDMR","https://www.anm.ro/_/ORDINE/OMS%20nr.%2080-2023.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-003","Romania","cnecsdti.research.gov.ro","https://cnecsdti.research.gov.ro/codul-national-de-etica/","Website","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-004","Romania","Edu.ro","https://edu.ro/sites/default/files/_fi%C8%99iere/Minister/2023/Legi_educatie_Romania_educata/legi_monitor/Legea_invatamantului_superior_nr_199.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-005","Romania","Legislatie Just","https://legislatie.just.ro/Public/DetaliiDocumentAfis/283972","Website","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-006","Romania","Research.gov.ro","https://www.research.gov.ro/wp-content/uploads/2025/03/HG-188-27.02.2025.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-007","Romania","Research.gov.ro","https://www.research.gov.ro/wp-content/uploads/2025/04/OMEC_21343_2025-MO.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-008","Romania","Unibuc","https://unibuc.ro/despre-ub/organizare/comisii/comisia-de-etica/","Website","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
"OV-RO-009","Romania","Universitatea Babeș-Bolyai","https://www.ubbcluj.ro/ro/despre/organizare/files/etica/Codul-cadru_de_etic%C4%83_%C5%9Fi_deontologie_universitar%C4%83.pdf","PDF","overview source links","2026-04-17","Overview country extraction","data/Romania/Overview Romania.docx","Embedded hyperlink in country overview document used for app extraction."
EE-S001,Estonia,Organisation of Research and Development and Innovation Act,https://www.riigiteataja.ee/en/eli/ee/516102025001/consolide,Website,law references,2026-04-22,Estonia deep dossier,data/Estonia/raw documentation/source notes/Estonia deep-dive sources.md,"Core constitutive source for research ethics, principles of research and development, institutional ethics committees, national committees and supervision."
EE-S002,Estonia,Procedure for formation and working procedure of research ethics committees,https://www.riigiteataja.ee/akt/109122025016,Website,law references,2026-04-22,Estonia deep dossier,data/Estonia/raw documentation/source notes/Estonia deep-dive sources.md,"Implementing regulation for the national committee architecture created under TAIKS."
EE-S003,Estonia,Research Integrity page,https://etag.ee/en/research-culture/research-integrity/,Website,research integrity offices and bodies,2026-04-23,Estonia deep dossier and committee case-file pilot,data/Estonia/raw documentation/source notes/Estonia deep-dive sources.md,"Main official ETAG hub for national integrity documents, AI guidance, ENRIO participation and committee signposting."
EE-S004,Estonia,Research Ethics Committee page,https://etag.ee/en/research-culture/research-integrity/research-ethics-committee/,Website,research integrity offices and bodies,2026-04-23,Estonia deep dossier and committee case-file pilot,data/Estonia/raw documentation/source notes/Estonia deep-dive sources.md,"Key source for the national committee mandate, ETIS workflow, subcommittees, applicant scope, continuing institutional committees and automatic publication of positive approvals."
EE-S005,Estonia,Research Misconduct page,https://etag.ee/en/research-culture/research-integrity/research-misconduct/,Website,research integrity offices and bodies,2026-04-23,Estonia deep dossier and committee case-file pilot,data/Estonia/raw documentation/source notes/Estonia deep-dive sources.md,"Live national misconduct reporting and second-opinion route; explains anonymous intake, institutional referral, lack of sanctions and absence of an individual public case archive."
